Address,City,lat,long,number,type
720 Prospect Ave,"Charlottesville, VA",38.023447,-78.494114,202,multiple
2111 Michie Dr,"Charlottesville, VA",38.0612834,-78.4857846,200,multiple
418 Garrett St,"Charlottesville, VA",38.0278978,-78.4801557,150,multiple
801 Hardy Drive,"Charlottesville, VA",38.0335463,-78.4906223,126,multiple
500 S. First St.,"Charlottesville, VA",38.0270564,-78.4829642,105,multiple
100 Ridge St,"Charlottesville, VA",38.0298427,-78.4848287,98,multiple
401 4th St NW,"Charlottesville, VA",38.0340612,-78.4855074,60,multiple
900 S. First St.,"Charlottesville, VA",38.0232593,-78.4857129,58,multiple
1337 Carlton Ave,"Charlottesville, VA",38.0217414,-78.4635438,54,multiple
1400 Monticello Rd,"Charlottesville, VA",38.0194631,-78.4726192,50,multiple
1111 Little High St,"Charlottesville, VA",38.030717,-78.469567,40,multiple
301 Carlton Rd,"Charlottesville, VA",38.0226348,-78.4704435,35,multiple
674 Hillsdale Dr,"Charlottesville, VA",38.0745399,-78.4763932,26,multiple
"707 Sixth St., SE","Charlottesville, VA",38.0248364,-78.4815718,25,multiple
2021 Michie Drive,"Charlottesville, VA",38.05951,-78.488033,23,multiple
1609 Madison Ave.,"Charlottesville, VA",38.042055,-78.4879587,18,multiple
800 Rose Hill Dr,"Charlottesville, VA",38.0383601,-78.4866934,16,multiple
309 Riverside Ave.,"Charlottesville, VA",38.0240944,-78.4557232,16,multiple
1014 Ridge St. ,"Charlottesville, VA",38.018174,-78.494599,14,multiple
1812 Short 18th St,"Charlottesville, VA",38.0247851,-78.4577122,12,multiple
1412 Carlton Ave,"Charlottesville, VA",38.0209376,-78.4666809,9,multiple
300 Carlton Rd ,"Charlottesville, VA",38.0223554,-78.4698885,9,multiple
361 10th Street,"Charlottesville, VA",38.0372031,-78.4925312,2,multiple
414 10th Street,"Charlottesville, VA",38.0378296,-78.4922648,2,multiple
618 Dice Street,"Charlottesville, VA",38.029466,-78.4906223,2,multiple
721 Nalle Street,"Charlottesville, VA",38.0298002,-78.4923536,2,multiple
306 7 1/2 Street,"Charlottesville, VA",38.0294501,-78.4912882,2,multiple
332 7 1/2 Street,"Charlottesville, VA",38.0286182,-78.4919541,2,multiple
302 7 1/2 Street,"Charlottesville, VA",38.029534,-78.4912078,2,multiple
407 Ridge Street,"Charlottesville, VA",38.027884,-78.487005,2,multiple
801 Harris Street,"Charlottesville, VA",38.0365545,-78.4843183,2,multiple
